Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
13.08.2022 00:00:00,13.08.2022 00:15:00,56820,14556,1444,38.39999999999993,0,0,6.912000000000004,32751.2,231326.40000000002,80238.8,0,9600,2112,13.08.2022
14.08.2022 00:00:00,14.08.2022 00:15:00,27588,14512,1328,27360.80000000003,0,0,6.912000000000004,-20739.599999999995,211128.8000000001,68979.59999999999,0,9600,2112,14.08.2022
15.08.2022 00:00:00,15.08.2022 00:15:00,9452,14528,1152,38.39999999999993,0,0,6.912000000000004,20355.200000000004,216083.9999999999,89146.39999999998,0,9600,2112,15.08.2022
16.08.2022 00:00:00,16.08.2022 00:15:00,56220,12604,1152,58036.40000000003,0,0,6.912000000000004,87080.00000000001,219709.20000000004,102409.20000000003,0,9600,2112,16.08.2022
17.08.2022 00:00:00,17.08.2022 00:15:00,6764,14052,1152,31938.4,0,0,6.912000000000004,85028.00000000001,212144.0000000001,90261.20000000001,0,9600,2112,17.08.2022
18.08.2022 00:00:00,18.08.2022 00:15:00,25184,12320,1152,41422.000000000015,0,0,6.912000000000004,89135.2,207217.6,91576,0,9600,2112,18.08.2022
19.08.2022 00:00:00,19.08.2022 00:15:00,24552,9000,1152,69877.19999999997,0,0,6.912000000000004,20039.2,223216.80000000013,71536.4,0,9600,2112,19.08.2022
20.08.2022 00:00:00,20.08.2022 00:15:00,96284,9304,1152,592.8,0,0,6.912000000000004,-42994.80000000002,256713.9999999999,82539.59999999999,0,9600,2112,20.08.2022
21.08.2022 00:00:00,21.08.2022 00:15:00,208076,6916,1136,0,0,0,6.912000000000004,-115759.99999999997,362517.6,56366.80000000002,0,9600,2112,21.08.2022
22.08.2022 00:00:00,22.08.2022 00:15:00,204660,4768,1920,0,0,0,6.912000000000004,67355.59999999999,351363.5999999999,77421.60000000002,0,9600,2112,22.08.2022
23.08.2022 00:00:00,23.08.2022 00:15:00,109956,6608,2004,30260.39999999999,0,0,6.912000000000004,115390,292822.39999999997,76268.4,0,9600,2112,23.08.2022
24.08.2022 00:00:00,24.08.2022 00:15:00,95040,11168,1920,58308.00000000002,0,0,6.912000000000004,28337.999999999996,260791.6000000001,61974.40000000002,0,9600,2112,24.08.2022
25.08.2022 00:00:00,25.08.2022 00:15:00,5140,11032,1920,35164.00000000001,0,0,6.912000000000004,72075.19999999998,232774.40000000002,69150.79999999999,0,9600,2112,25.08.2022
26.08.2022 00:00:00,26.08.2022 00:15:00,2484,11996,1152,46337.600000000006,0,0,6.912000000000004,88008.8,237406.40000000002,88253.2,0,9600,2112,26.08.2022
27.08.2022 00:00:00,27.08.2022 00:15:00,28568,10452,1456,1390.8000000000038,0,0,6.912000000000004,-16803.200000000008,266333.2,50070.39999999998,0,9600,2112,27.08.2022
28.08.2022 00:00:00,28.08.2022 00:15:00,33004,8332,1536,38.39999999999993,0,0,6.912000000000004,-97628.79999999996,277983.19999999984,41650.39999999999,0,9600,2112,28.08.2022
29.08.2022 00:00:00,29.08.2022 00:15:00,54788,11700,1284,38.39999999999993,0,0,6.912000000000004,-34639.20000000002,289767.2,50830.79999999999,0,9600,2112,29.08.2022
30.08.2022 00:00:00,30.08.2022 00:15:00,24456,11908,1500,39002.40000000001,0,0,6.912000000000004,33841.2,253139.59999999998,69238.40000000001,0,9600,2112,30.08.2022
31.08.2022 00:00:00,31.08.2022 00:15:00,59708,4892,1320,46952.399999999994,0,0,6.912000000000004,7544.000000000005,242313.59999999998,63729.99999999999,0,9600,2112,31.08.2022
01.09.2022 00:00:00,01.09.2022 00:15:00,91976,7724,1228,84705.99999999999,0,0,6.912000000000004,6799.600000000005,301700.0000000001,41807.600000000006,0,9600,2112,01.09.2022
02.09.2022 00:00:00,02.09.2022 00:15:00,22444,12648,1188,95899.20000000001,0,0,6.912000000000004,-38841.600000000006,274848.8,33717.59999999999,0,9600,2112,02.09.2022
03.09.2022 00:00:00,03.09.2022 00:15:00,50528,12556,1360,45834.400000000016,0,0,6.912000000000004,-98670.79999999992,246552.80000000002,26063.999999999993,0,9600,2112,03.09.2022
04.09.2022 00:00:00,04.09.2022 00:15:00,7472,12592,1488,38307.99999999999,0,0,6.912000000000004,-67252.39999999997,266784.80000000005,30694.799999999985,0,9600,2112,04.09.2022
05.09.2022 00:00:00,05.09.2022 00:15:00,7140,10440,1152,115603.59999999998,0,0,6.912000000000004,55150.4,230178.8000000001,42784.399999999994,0,9600,2112,05.09.2022
06.09.2022 00:00:00,06.09.2022 00:15:00,26164,10904,1152,101062.39999999997,0,0,6.912000000000004,121207.19999999998,216917.60000000015,54300.399999999994,0,9600,2112,06.09.2022
07.09.2022 00:00:00,07.09.2022 00:15:00,9224,9472,1168,142634.00000000003,0,0,6.912000000000004,19066.39999999998,214112.80000000008,46363.6,0,9600,2112,07.09.2022
08.09.2022 00:00:00,08.09.2022 00:15:00,97328,7248,1152,117225.19999999998,0,0,6.912000000000004,45417.19999999999,206573.20000000004,49130.799999999996,0,9600,2112,08.09.2022
09.09.2022 00:00:00,09.09.2022 00:15:00,28348,8348,1152,106913.60000000002,0,0,6.912000000000004,34790.799999999996,199754,34905.200000000004,0,9600,2112,09.09.2022
10.09.2022 00:00:00,10.09.2022 00:15:00,101540,10300,1232,38477.200000000004,0,0,6.912000000000004,-6258.400000000004,262247.6,44768.799999999996,0,9600,2112,10.09.2022
11.09.2022 00:00:00,11.09.2022 00:15:00,117088,8476,1472,43464.00000000001,0,0,6.912000000000004,-50440.8,256513.60000000003,43933.99999999999,0,9600,2112,11.09.2022
12.09.2022 00:00:00,12.09.2022 00:15:00,58296,10216,1152,134622.4,0,0,6.912000000000004,41996.4,271767.2,48387.599999999984,0,9600,2112,12.09.2022
13.09.2022 00:00:00,13.09.2022 00:15:00,10184,10936,1152,159417.20000000007,0,0,6.912000000000004,90528.79999999999,243180.40000000014,42554.40000000001,0,9600,2112,13.09.2022
14.09.2022 00:00:00,14.09.2022 00:15:00,15144,8712,1152,139776,0,0,6.912000000000004,154581.6,233955.19999999998,69930,0,9600,2112,14.09.2022
15.09.2022 00:00:00,15.09.2022 00:15:00,80084,7096,1192,157854.79999999996,0,0,6.912000000000004,90784.4,246698.80000000002,51943.20000000001,0,9600,2112,15.09.2022
16.09.2022 00:00:00,16.09.2022 00:15:00,49784,5872,1152,23450.4,0,0,6.912000000000004,58573.99999999999,292101.19999999995,59723.200000000004,0,9600,2112,16.09.2022
17.09.2022 00:00:00,17.09.2022 00:15:00,135392,5948,1152,9924.800000000001,0,0,6.912000000000004,-53474.80000000001,315303.60000000003,56331.19999999998,0,9600,2112,17.09.2022
18.09.2022 00:00:00,18.09.2022 00:15:00,202348,9512,1472,9008.800000000003,0,0,6.912000000000004,-121912.40000000002,332787.6,47587.6,0,9600,2112,18.09.2022
19.09.2022 00:00:00,19.09.2022 00:15:00,177320,7352,1152,85521.20000000001,0,0,6.912000000000004,-27209.600000000002,364924.8000000001,60500.79999999999,0,9600,2112,19.09.2022
20.09.2022 00:00:00,20.09.2022 00:15:00,109352,7188,1152,143618.00000000006,0,0,6.912000000000004,14420.800000000001,369353.2000000001,75632.4,0,9600,2112,20.09.2022
21.09.2022 00:00:00,21.09.2022 00:15:00,98756,9084,1152,150657.19999999998,0,0,6.912000000000004,31645.6,371234.8000000001,66594.4,0,9600,2112,21.09.2022
22.09.2022 00:00:00,22.09.2022 00:15:00,40476,9208,1132,132373.19999999998,0,0,6.912000000000004,76048.40000000001,331171.9999999999,66659.99999999999,0,9600,2112,22.09.2022
23.09.2022 00:00:00,23.09.2022 00:15:00,9460,10376,768,141645.59999999998,0,0,6.912000000000004,87365.20000000003,303654,61979.20000000001,0,9600,2112,23.09.2022
24.09.2022 00:00:00,24.09.2022 00:15:00,22052,9060,976,146838.80000000005,0,0,6.912000000000004,42513.600000000006,278692,39300.8,0,9600,2112,24.09.2022
25.09.2022 00:00:00,25.09.2022 00:15:00,8416,5396,1088,34120.80000000002,0,0,6.912000000000004,16728.8,281120.4,44208.40000000001,0,9600,2112,25.09.2022
26.09.2022 00:00:00,26.09.2022 00:15:00,18340,6676,768,115517.99999999999,0,0,6.912000000000004,40131.20000000001,300109.19999999995,37612,0,9600,2112,26.09.2022
27.09.2022 00:00:00,27.09.2022 00:15:00,54628,4236,768,134587.2,0,0,6.912000000000004,73414.79999999997,296599.1999999999,44127.600000000006,0,9600,2112,27.09.2022
28.09.2022 00:00:00,28.09.2022 00:15:00,95476,6920,384,112618,0,0,6.912000000000004,89798.79999999999,295382.8,50390.00000000001,0,9600,2112,28.09.2022
29.09.2022 00:00:00,29.09.2022 00:15:00,19284,4348,708,173434.40000000002,0,0,6.912000000000004,104082.40000000002,284545.59999999986,56204.39999999999,0,9600,2112,29.09.2022
30.09.2022 00:00:00,30.09.2022 00:15:00,14692,3548,384,108192.79999999999,0,0,6.912000000000004,14414.800000000005,332846.7999999999,47983.600000000006,0,9600,2112,30.09.2022
01.10.2022 00:00:00,01.10.2022 00:15:00,42060,6276,464,9788.399999999998,0,0,6.912000000000004,-90190.40000000005,333101.2,31028.800000000003,0,9600,2112,01.10.2022
02.10.2022 00:00:00,02.10.2022 00:15:00,145224,4456,704,8346.4,0,0,6.912000000000004,-86621.60000000003,368167.2,48240.40000000001,0,9600,2112,02.10.2022
03.10.2022 00:00:00,03.10.2022 00:15:00,232284,5500,384,35802.39999999999,0,0,6.912000000000004,-21962.399999999994,424454,67414.4,0,9600,2112,03.10.2022
04.10.2022 00:00:00,04.10.2022 00:15:00,94200,7024,384,79559.19999999995,0,0,6.912000000000004,46727.200000000004,417504.39999999997,73764.8,0,9600,2112,04.10.2022
05.10.2022 00:00:00,05.10.2022 00:15:00,93744,7184,384,39991.59999999999,0,0,6.912000000000004,-33239.20000000001,458720.7999999998,13325.599999999997,0,9600,2112,05.10.2022
